,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
57,14:15,49.98,50.0,49.92,49.98,49.95,50.02,49.87,49.97,49.95,49.99,50.0,49.88,50.02,50.0,49.87,49.99,49.98,49.99,49.99,50.03,49.83,50.0,49.97,49.99,50.01,49.9,50.0,49.98
58,14:30,49.98,49.97,49.91,50.05,49.99,50.01,49.96,49.98,49.98,50.02,49.99,49.9,50.05,49.97,49.93,50.01,50.01,49.98,49.97,50.06,49.84,49.99,49.99,49.99,50.0,49.88,50.02,49.96
59,14:45,49.98,49.92,49.95,50.05,49.99,49.99,49.91,49.97,49.98,50.01,50.01,49.9,50.06,49.97,49.82,50.0,50.01,49.95,49.95,50.02,49.82,49.99,49.99,50.0,50.0,49.85,49.98,49.97
60,15:00,50.0,49.99,49.95,50.06,50.02,50.02,49.94,49.98,49.98,50.01,50.02,49.98,50.04,49.99,50.0,50.04,50.03,49.97,49.97,49.99,49.97,49.93,50.01,49.98,50.0,49.94,50.01,49.95
61,15:15,49.98,49.91,49.79,49.96,49.96,49.97,49.98,49.86,50.0,49.99,49.99,49.93,50.0,49.88,49.91,49.97,49.97,49.97,49.97,49.97,49.95,49.85,49.98,49.97,49.96,49.9,49.99,49.96
62,15:30,49.96,49.96,49.92,49.95,49.95,49.97,49.98,49.89,50.03,49.97,49.99,49.97,49.99,49.9,49.89,49.95,49.95,49.91,49.99,49.95,49.94,49.86,49.94,49.94,49.97,49.95,50.0,49.99
63,15:45,49.94,49.98,49.95,49.94,49.91,49.98,49.95,49.88,50.03,49.87,50.01,49.98,50.01,49.89,49.84,49.99,49.89,49.94,49.87,49.92,49.82,49.93,49.95,49.92,49.96,49.98,50.01,49.94
64,16:00,50.01,50.06,49.97,50.13,50.02,50.06,49.99,49.96,50.04,50.03,50.05,50.02,50.06,49.98,50.03,50.0,50.01,50.04,50.01,50.01,49.97,50.01,50.02,49.99,50.01,50.01,50.1,50.02
65,16:15,49.98,50.01,49.99,50.06,50.0,50.03,49.97,49.94,50.04,50.03,50.0,49.96,50.02,50.0,49.97,49.94,49.95,49.99,49.98,49.95,49.96,49.96,49.98,49.97,50.0,49.96,50.02,49.99
66,16:30,49.93,49.97,49.94,50.03,49.96,50.0,49.96,49.91,50.01,50.0,49.94,49.97,49.99,49.98,49.94,49.92,49.94,49.99,49.96,49.94,49.96,49.96,49.92,49.96,50.01,49.9,50.0,49.98
